state,city,zip,area_codes,latitude,longitude
TX,El Paso,79936,915,31.84,-106.43
IL,Chicago,60629,"708,773,312",41.83,-87.68
CA,Norwalk,90650,"562,714",33.9,-118.07
NY,Elmhurst,11373,"646,917,718,347",40.72,-73.87
NY,Ridgewood,11385,"718,516,917,212",40.7,-73.89
NY,Brooklyn,11226,"917,718,212",40.64,-73.94
NY,Brooklyn,11220,718,40.64,-73.94
TX,Houston,77084,"281,713,832",29.76,-95.38
CA,Pacoima,91331,818,34.25,-118.41
NY,Brooklyn,11236,"917,718",40.64,-73.94
TX,Katy,77449,"281,713,832",29.79,-95.82
CA,Westminster,92683,"626,714,310,562,949",33.74,-117.99
GA,Atlanta,31139,404,33.76,-84.42
NY,New York,10002,"646,917,212,516,718",40.71,-73.99
TX,Keller,76248,"817,972,682",32.93,-97.22
CA,South Gate,90280,"323,213,310,562",33.94,-118.2
NY,New York,10025,"917,212,646",40.71,-73.99
IL,Chicago,60618,"773,847,312",41.83,-87.68
TX,Grand Prairie,75052,"972,214,817,469",32.69,-97.01
NY,Staten Island,10314,"203,718,347",40.58,-74.14
CA,Hawthorne,90250,"310,323,714,424",33.91,-118.34
CA,San Diego,92154,"619,858",32.56,-117.01
NY,Corona,11368,"917,718",40.74,-73.85
NY,Flushing,11355,"718,347,917",40.77,-73.84
CA,Bell Gardens,90201,"323,562,213,310",33.97,-118.15
CA,Santa Ana,92704,"714,213,949",33.71,-117.9
NY,Brooklyn,11234,"718,917,212,347",40.64,-73.94
CA,Chula Vista,91911,"530,619,760",32.61,-117.03
TX,Brownsville,78521,956,25.92,-97.48
CA,Sylmar,91342,"818,323",34.32,-118.38
NY,Woodside,11377,"718,347",40.74,-73.9
CA,Fontana,92336,909,34.14,-117.45
CA,Long Beach,90805,"562,310,323",33.86,-118.18
IL,Chicago,60639,"773,847,312,815",41.83,-87.68
CA,Fontana,92335,909,34.08,-117.46
NY,Brooklyn,11208,718,40.64,-73.94
CA,Oxnard,93033,805,34.14,-119.1
CA,San Francisco,94112,"415,650",37.72,-122.44
NY,Bronx,10467,"718,347",40.84,-73.87
GA,Lawrenceville,30044,"678,770,404",33.94,-83.99
IL,Chicago,60632,"773,847,312",41.83,-87.68
CA,Watsonville,95076,"408,831,510",36.95,-121.72
CA,La Puente,91744,"626,323",34.02,-117.93
IL,Chicago,60634,"312,773,847",41.83,-87.68
CA,Los Angeles,90011,"213,323",34,-118.25
MO,Saint Peters,63376,"636,314",38.77,-90.6
CA,Chino Hills,91709,"909,714",33.94,-117.72
NY,Brooklyn,11214,"917,718",40.64,-73.94
IL,Chicago,60647,"312,773",41.83,-87.68
